item_id,client_id,item_type,case_type,date_sent,current_state,days_outstanding,completion_deadline,days_until_deadline,completion_percentage,sent_via,opened,last_interaction,rejection_reason,resubmission_count
POST_00142,CLI_0043,Investment Confirmation,Protection Review,2026-01-31T16:34:15.566739,Partially Completed,1,2026-02-14T16:34:15.566739,12,29,SMS,True,2026-01-26T16:34:15.566781,,0
POST_00143,CLI_0033,Risk Questionnaire,Protection Review,2026-01-16T16:34:15.566794,Partially Completed,16,2026-01-30T16:34:15.566794,0,37,SMS,True,2026-01-31T16:34:15.566831,,0
POST_00144,CLI_0038,Risk Questionnaire,Protection Review,2026-01-08T16:34:15.566843,Completed,24,2026-01-22T16:34:15.566843,0,100,Email,True,2026-01-23T16:34:15.566877,,0
POST_00145,CLI_0017,Investment Confirmation,General Review,2026-01-03T16:34:15.566890,Opened,29,2026-01-17T16:34:15.566890,0,0,SMS,True,2026-01-27T16:34:15.566924,,0
POST_00146,CLI_0026,Investment Confirmation,Retirement Planning,2026-01-20T16:34:15.566937,Completed,12,2026-02-03T16:34:15.566937,1,100,SMS,True,2026-01-26T16:34:15.566972,,0
POST_00147,CLI_0040,Risk Questionnaire,Investment Planning,2026-01-07T16:34:15.566988,Completed,25,2026-01-21T16:34:15.566988,0,100,Email,False,2026-01-26T16:34:15.567023,,0
POST_00148,CLI_0009,Investment Confirmation,Retirement Planning,2026-01-12T16:34:15.567036,Partially Completed,20,2026-01-26T16:34:15.567036,0,12,SMS,True,2026-01-31T16:34:15.567073,,0
POST_00149,CLI_0035,Terms & Conditions,Investment Planning,2026-01-29T16:34:15.567086,Sent,3,2026-02-12T16:34:15.567086,10,0,Portal,True,2026-01-26T16:34:15.567119,,0
POST_00150,CLI_0048,Pension Transfer Authority,Investment Planning,2026-01-15T16:34:15.567133,Completed,17,2026-01-29T16:34:15.567133,0,100,SMS,True,2026-01-29T16:34:15.567166,,0
POST_00151,CLI_0012,Anti-Money Laundering Document,Protection Review,2026-01-29T16:34:15.567179,Opened,3,2026-02-12T16:34:15.567179,10,0,SMS,True,2026-02-01T16:34:15.567213,,0
POST_00152,CLI_0027,AML Verification,Investment Planning,2026-01-03T16:34:15.567225,Rejected,29,2026-01-17T16:34:15.567225,0,0,Email,True,2026-01-25T16:34:15.567262,Incomplete,0
POST_00153,CLI_0035,Terms & Conditions,Investment Planning,2026-01-28T16:34:15.567275,Resubmitted,4,2026-02-11T16:34:15.567275,9,0,SMS,False,2026-01-30T16:34:15.567308,,1
POST_00154,CLI_0015,AML Verification,Investment Planning,2026-01-22T16:34:15.567324,Resubmitted,10,2026-02-05T16:34:15.567324,3,0,Portal,True,2026-01-30T16:34:15.567357,,1
POST_00155,CLI_0024,Investment Confirmation,Protection Review,2026-01-30T16:34:15.567373,Completed,2,2026-02-13T16:34:15.567373,11,100,WhatsApp,True,2026-01-30T16:34:15.567407,,0
POST_00156,CLI_0014,Pension Transfer Authority,General Review,2026-01-07T16:34:15.567420,Pending,25,2026-01-21T16:34:15.567420,0,0,Email,True,2026-01-23T16:34:15.567453,,0
POST_00157,CLI_0018,Application Form,General Review,2026-01-26T16:34:15.567469,Completed,6,2026-02-09T16:34:15.567469,7,100,Email,False,2026-01-23T16:34:15.567503,,0
POST_00158,CLI_0006,Investment Confirmation,Investment Planning,2026-01-20T16:34:15.567517,Partially Completed,12,2026-02-03T16:34:15.567517,1,44,Email,True,2026-01-25T16:34:15.567553,,0
POST_00159,CLI_0003,AML Verification,Protection Review,2026-01-25T16:34:15.567565,Completed,7,2026-02-08T16:34:15.567565,6,100,Portal,True,2026-01-26T16:34:15.567599,,0
POST_00160,CLI_0030,Anti-Money Laundering Document,Investment Planning,2026-01-23T16:34:15.567612,Resubmitted,9,2026-02-06T16:34:15.567612,4,0,Email,False,2026-02-01T16:34:15.567679,,1
POST_00161,CLI_0024,Investment Confirmation,Protection Review,2026-01-31T16:34:15.567697,Opened,1,2026-02-14T16:34:15.567697,12,0,SMS,False,2026-01-26T16:34:15.567741,,0
POST_00162,CLI_0002,Pension Transfer Authority,Pension Consolidation,2026-01-23T16:34:15.567754,Pending,9,2026-02-06T16:34:15.567754,4,0,SMS,True,2026-01-28T16:34:15.567789,,0
POST_00163,CLI_0005,AML Verification,Pension Consolidation,2026-01-19T16:34:15.567802,Resubmitted,13,2026-02-02T16:34:15.567802,0,0,Portal,True,2026-01-27T16:34:15.567839,,1
POST_00164,CLI_0025,Risk Questionnaire,Protection Review,2026-01-07T16:34:15.567855,Completed,25,2026-01-21T16:34:15.567855,0,100,SMS,True,2026-01-30T16:34:15.567890,,0
POST_00165,CLI_0033,Application Form,Protection Review,2026-01-13T16:34:15.567903,Rejected,19,2026-01-27T16:34:15.567903,0,0,Portal,True,2026-01-24T16:34:15.567940,Missing Signature,0
POST_00166,CLI_0035,AML Verification,Investment Planning,2026-01-27T16:34:15.567953,Completed,5,2026-02-10T16:34:15.567953,8,100,WhatsApp,True,2026-01-27T16:34:15.567986,,0
POST_00167,CLI_0003,AML Verification,Protection Review,2026-01-11T16:34:15.568003,Resubmitted,21,2026-01-25T16:34:15.568003,0,0,Email,True,2026-01-27T16:34:15.568037,,0
POST_00168,CLI_0008,Pension Transfer Authority,Protection Review,2026-01-14T16:34:15.568052,Completed,18,2026-01-28T16:34:15.568052,0,100,Portal,False,2026-01-23T16:34:15.568086,,0
POST_00169,CLI_0039,Application Form,Investment Planning,2026-01-18T16:34:15.568099,Resubmitted,14,2026-02-01T16:34:15.568099,0,0,SMS,True,2026-01-24T16:34:15.568167,,1
POST_00170,CLI_0023,Pension Transfer Authority,Pension Consolidation,2026-01-14T16:34:15.568186,Completed,18,2026-01-28T16:34:15.568186,0,100,WhatsApp,True,2026-01-29T16:34:15.568233,,0
POST_00171,CLI_0049,Investment Confirmation,General Review,2026-01-27T16:34:15.568247,Opened,5,2026-02-10T16:34:15.568247,8,0,Email,True,2026-01-31T16:34:15.568282,,0
POST_00172,CLI_0049,Risk Questionnaire,General Review,2026-01-25T16:34:15.568295,Partially Completed,7,2026-02-08T16:34:15.568295,6,68,Portal,True,2026-01-30T16:34:15.568333,,0
POST_00173,CLI_0026,Risk Questionnaire,Retirement Planning,2026-01-03T16:34:15.568346,Completed,29,2026-01-17T16:34:15.568346,0,100,SMS,True,2026-02-01T16:34:15.568380,,0
POST_00174,CLI_0025,Anti-Money Laundering Document,Protection Review,2026-01-15T16:34:15.568393,Partially Completed,17,2026-01-29T16:34:15.568393,0,80,SMS,True,2026-01-29T16:34:15.568430,,0
POST_00175,CLI_0030,Authority to Proceed,Investment Planning,2026-01-11T16:34:15.568443,Partially Completed,21,2026-01-25T16:34:15.568443,0,76,SMS,True,2026-02-01T16:34:15.568480,,0
POST_00176,CLI_0039,Pension Transfer Authority,Investment Planning,2026-01-14T16:34:15.568492,Completed,18,2026-01-28T16:34:15.568492,0,100,Portal,True,2026-02-01T16:34:15.568526,,0
POST_00177,CLI_0019,Authority to Proceed,Pension Consolidation,2026-01-26T16:34:15.568540,Completed,6,2026-02-09T16:34:15.568540,7,100,Email,True,2026-01-24T16:34:15.568575,,0
POST_00178,CLI_0004,Risk Questionnaire,Pension Consolidation,2026-01-22T16:34:15.568588,Completed,10,2026-02-05T16:34:15.568588,3,100,WhatsApp,True,2026-01-23T16:34:15.568621,,0
POST_00179,CLI_0030,Investment Confirmation,Investment Planning,2026-01-15T16:34:15.568661,Pending,17,2026-01-29T16:34:15.568661,0,0,Portal,True,2026-01-25T16:34:15.568714,,0
POST_00180,CLI_0012,Authority to Proceed,Protection Review,2026-01-15T16:34:15.568728,Completed,17,2026-01-29T16:34:15.568728,0,100,WhatsApp,True,2026-02-01T16:34:15.568773,,0
POST_00181,CLI_0032,Application Form,Investment Planning,2026-01-26T16:34:15.568790,Partially Completed,6,2026-02-09T16:34:15.568790,7,19,Email,False,2026-01-28T16:34:15.568830,,0
POST_00182,CLI_0038,Authority to Proceed,Protection Review,2026-01-12T16:34:15.568843,Completed,20,2026-01-26T16:34:15.568843,0,100,Email,True,2026-01-28T16:34:15.568877,,0
POST_00183,CLI_0006,Anti-Money Laundering Document,Investment Planning,2026-01-30T16:34:15.568894,Completed,2,2026-02-13T16:34:15.568894,11,100,Email,True,2026-01-23T16:34:15.568929,,0
POST_00184,CLI_0007,Terms & Conditions,Pension Consolidation,2026-01-06T16:34:15.568942,Partially Completed,26,2026-01-20T16:34:15.568942,0,58,WhatsApp,True,2026-02-01T16:34:15.568979,,0
POST_00185,CLI_0014,Pension Transfer Authority,General Review,2026-01-28T16:34:15.568992,Sent,4,2026-02-11T16:34:15.568992,9,0,Portal,False,2026-01-27T16:34:15.569026,,0
POST_00186,CLI_0027,Application Form,Investment Planning,2026-01-05T16:34:15.569039,Resubmitted,27,2026-01-19T16:34:15.569039,0,0,SMS,False,2026-01-28T16:34:15.569073,,1
POST_00187,CLI_0009,AML Verification,Retirement Planning,2026-01-29T16:34:15.569092,Resubmitted,3,2026-02-12T16:34:15.569092,10,0,Portal,True,2026-01-27T16:34:15.569126,,2
POST_00188,CLI_0030,Anti-Money Laundering Document,Investment Planning,2026-01-04T16:34:15.569142,Pending,28,2026-01-18T16:34:15.569142,0,0,WhatsApp,True,2026-02-01T16:34:15.569175,,0
POST_00189,CLI_0048,Investment Confirmation,Investment Planning,2026-01-28T16:34:15.569188,Completed,4,2026-02-11T16:34:15.569188,9,100,WhatsApp,False,2026-01-28T16:34:15.569221,,0
POST_00190,CLI_0037,Investment Confirmation,Investment Planning,2026-01-03T16:34:15.569234,Completed,29,2026-01-17T16:34:15.569234,0,100,SMS,True,2026-01-29T16:34:15.569267,,0
POST_00191,CLI_0015,AML Verification,Investment Planning,2026-01-28T16:34:15.569280,Completed,4,2026-02-11T16:34:15.569280,9,100,SMS,True,2026-01-23T16:34:15.569314,,0
POST_00192,CLI_0011,AML Verification,Investment Planning,2026-01-08T16:34:15.569327,Resubmitted,24,2026-01-22T16:34:15.569327,0,0,Portal,True,2026-01-28T16:34:15.569360,,1
POST_00193,CLI_0050,Terms & Conditions,Pension Consolidation,2026-01-10T16:34:15.569376,Partially Completed,22,2026-01-24T16:34:15.569376,0,8,WhatsApp,False,2026-01-30T16:34:15.569424,,0
POST_00194,CLI_0039,Terms & Conditions,Investment Planning,2026-01-08T16:34:15.569446,Opened,24,2026-01-22T16:34:15.569446,0,0,WhatsApp,False,2026-01-23T16:34:15.569505,,0
POST_00195,CLI_0043,Investment Confirmation,Protection Review,2026-01-13T16:34:15.569526,Completed,19,2026-01-27T16:34:15.569526,0,100,Email,False,2026-01-31T16:34:15.569583,,0
POST_00196,CLI_0023,Anti-Money Laundering Document,Pension Consolidation,2026-01-27T16:34:15.569605,Opened,5,2026-02-10T16:34:15.569605,8,0,SMS,True,2026-01-24T16:34:15.569717,,0
POST_00197,CLI_0035,Anti-Money Laundering Document,Investment Planning,2026-01-11T16:34:15.569749,Sent,21,2026-01-25T16:34:15.569749,0,0,Email,True,2026-02-01T16:34:15.569821,,0
POST_00198,CLI_0017,Authority to Proceed,General Review,2026-01-30T16:34:15.569844,Rejected,2,2026-02-13T16:34:15.569844,11,0,WhatsApp,True,2026-01-31T16:34:15.569911,Wrong Form,0
POST_00199,CLI_0002,Investment Confirmation,Pension Consolidation,2026-01-09T16:34:15.569936,Completed,23,2026-01-23T16:34:15.569936,0,100,Portal,False,2026-02-01T16:34:15.570003,,0
POST_00200,CLI_0032,Terms & Conditions,Investment Planning,2026-01-26T16:34:15.570040,Opened,6,2026-02-09T16:34:15.570040,7,0,SMS,True,2026-01-25T16:34:15.570116,,0
